step,train_loss,train_acc,val_loss,val_acc,batch_time,samples_per_second
0,0.7218232154846191,0.5249999761581421,0.7668012380599976,0.45500001311302185,0.0007426738739013672,221218.5654008439
1,0.7191374897956848,0.5249999761581421,0.7644789218902588,0.45500001311302185,0.0005724430084228516,251268.7734012281
2,0.7164686322212219,0.5299999713897705,0.7621707320213318,0.4699999988079071,0.0005469322204589844,269759.0738557187
3,0.7138164639472961,0.5350000262260437,0.759876549243927,0.4749999940395355,0.0005230903625488281,282944.8688759592
4,0.7111810445785522,0.5400000214576721,0.7575962543487549,0.48500001430511475,0.0009081363677978516,262094.8572142723
5,0.7085620164871216,0.5400000214576721,0.7553299069404602,0.48500001430511475,0.0011572837829589844,232371.41274238226
6,0.7059593200683594,0.5450000166893005,0.7530772686004639,0.4950000047683716,0.001115560531616211,216751.89546343804
7,0.7033731341362,0.5450000166893005,0.7508383393287659,0.5,0.00110626220703125,206660.49949188557
8,0.7008029222488403,0.5450000166893005,0.7486128807067871,0.5049999952316284,0.001081228256225586,200162.97788854127
9,0.6982488036155701,0.5450000166893005,0.7464010119438171,0.5099999904632568,0.0011072158813476562,194599.67058714363
10,0.6957108378410339,0.5450000166893005,0.7442024946212769,0.5099999904632568,0.0010762214660644531,190878.92102105828
11,0.6931885480880737,0.5450000166893005,0.742017388343811,0.5099999904632568,0.0010852813720703125,187794.1458500457
12,0.690682053565979,0.550000011920929,0.7398454546928406,0.5149999856948853,0.0012814998626708984,182675.6855453373
13,0.6881914734840393,0.550000011920929,0.7376866340637207,0.5199999809265137,0.0011110305786132812,180436.20385023122
14,0.6857161521911621,0.5550000071525574,0.7355409860610962,0.5199999809265137,0.0010993480682373047,178699.00871985685
15,0.6832564473152161,0.5550000071525574,0.7334083318710327,0.5249999761581421,0.0010368824005126953,177825.997323688
16,0.6808120608329773,0.5600000023841858,0.7312884330749512,0.5299999713897705,0.0010895729064941406,176608.83500315802
17,0.678382933139801,0.5600000023841858,0.7291815280914307,0.5299999713897705,0.0011081695556640625,175424.56955642818
18,0.6759689450263977,0.5600000023841858,0.7270871996879578,0.5350000262260437,0.0010330677032470703,174960.2643336224
19,0.6735700368881226,0.5649999976158142,0.7250056266784668,0.5350000262260437,0.0010333061218261719,174584.44504568254
20,0.6711859703063965,0.5699999928474426,0.7229366302490234,0.5450000166893005,0.001102447509765625,173754.2713419145
21,0.6688169836997986,0.574999988079071,0.7208800315856934,0.550000011920929,0.0010268688201904297,173502.47351152144
22,0.6664624810218811,0.574999988079071,0.7188360095024109,0.550000011920929,0.0010290145874023438,173262.31545673337
23,0.6641227602958679,0.574999988079071,0.7168042063713074,0.550000011920929,0.0010259151458740234,173053.16577558493
24,0.6617976427078247,0.574999988079071,0.7147846817970276,0.5550000071525574,0.0010230541229248047,172901.0981763018
25,0.6594868302345276,0.5799999833106995,0.7127772569656372,0.5600000023841858,0.001018524169921875,172766.43906148509
26,0.6571905016899109,0.5849999785423279,0.7107819318771362,0.5649999976158142,0.00102996826171875,172541.98738458726
27,0.654908299446106,0.5849999785423279,0.7087985873222351,0.574999988079071,0.0010311603546142578,172377.09085571702
28,0.6526402831077576,0.5849999785423279,0.7068272233009338,0.5849999785423279,0.0010783672332763672,171982.77271120538
29,0.6503863334655762,0.5899999737739563,0.7048676013946533,0.5899999737739563,0.0010387897491455078,171819.0718728451
30,0.6481464505195618,0.6000000238418579,0.7029198408126831,0.5899999737739563,0.001024484634399414,171717.22475716294
31,0.6459202766418457,0.6050000190734863,0.7009836435317993,0.5899999737739563,0.001026153564453125,171571.39405715308
32,0.6437078714370728,0.6050000190734863,0.6990591287612915,0.5899999737739563,0.0010192394256591797,171508.976797497
33,0.6415092349052429,0.6100000143051147,0.6971461772918701,0.5899999737739563,0.0010230541229248047,171438.93630833595
34,0.6393241286277771,0.6150000095367432,0.6952446103096008,0.5950000286102295,0.0010194778442382812,171396.9608695906
35,0.6371524333953857,0.6150000095367432,0.6933543682098389,0.5950000286102295,0.0010221004486083984,171335.9477124183
36,0.6349941492080688,0.6200000047683716,0.6914754509925842,0.5950000286102295,0.001049041748046875,171147.9374252141
37,0.6328492164611816,0.6200000047683716,0.6896077990531921,0.5950000286102295,0.0010178089141845703,171106.02582958486
38,0.630717396736145,0.6200000047683716,0.6877511739730835,0.6050000190734863,0.001024007797241211,171052.8662553592
39,0.6285987496376038,0.625,0.6859056949615479,0.6050000190734863,0.0011134147644042969,170685.76602606493
40,0.6264930367469788,0.625,0.6840711832046509,0.6050000190734863,0.0010597705841064453,170526.36881535433
41,0.6244003772735596,0.625,0.6822476387023926,0.6050000190734863,0.0010914802551269531,170222.55419684312
42,0.6223204135894775,0.6349999904632568,0.6804348230361938,0.6150000095367432,0.0010290145874023438,170168.7694601174
43,0.6202532052993774,0.6449999809265137,0.6786327958106995,0.6200000047683716,0.0010213851928710938,170159.81153734447
44,0.6181986331939697,0.6449999809265137,0.6768413782119751,0.6200000047683716,0.0010190010070800781,170152.01958053306
45,0.6161566972732544,0.6499999761581421,0.6750606298446655,0.6200000047683716,0.0010235309600830078,170134.8147756232
46,0.6141271591186523,0.6549999713897705,0.673290491104126,0.6299999952316284,0.0010204315185546875,170092.65813610362
47,0.6121099591255188,0.6600000262260437,0.6715307831764221,0.6299999952316284,0.0010428428649902344,170012.06900919616
48,0.6101050972938538,0.6600000262260437,0.6697814464569092,0.6299999952316284,0.0010247230529785156,169989.65773932607
49,0.6081123948097229,0.6650000214576721,0.6680423617362976,0.6299999952316284,0.0010213851928710938,169979.85840091103
50,0.6061318516731262,0.6700000166893005,0.666313648223877,0.6299999952316284,0.0010273456573486328,169954.23913302558
51,0.6041633486747742,0.6850000023841858,0.6645949482917786,0.6299999952316284,0.0010356903076171875,169881.96330582505
52,0.6022067070007324,0.6899999976158142,0.6628865003585815,0.6299999952316284,0.001033782958984375,169837.12305846938
